TCID,Tytuł,Warunki wstępne,ID Kroku,Opis kroku,Oczekiwany rezultat
1,Poprawne założenie konta,Otwara aplikacja MrBuggy 3,1,"Klikam ""Rejestracja""",Otwiera się nowe okno z formularzem rejestracyjnym
,,e-mail: annagnat556@wp.pl,2,W miejscu nazwa użytkownika wpisuję użytkownika: Anna!55,W polu input pojawiła się nazwa użytkownika
,,,3,W miejscu e-mail wpisuję: annagnat556@wp.pl,W polu input pojawiła się wpisany e-mail
,,,4,W miejscu hasło wpisuję: PannaAnna57!PannaAnna,W polu input pojawia się zaszyfrowane hasło
,,,5,"W miejscu ""powtórz hasło"" wpisuję: PannaAnna57!PannaAnna",W polu input pojawia się zaszyfrowane hasło
,,,6,"Zaznaczam checkbox ""Akceptuję regulamin""",Checkbox został zaznaczony
,,,7,"Klikam ""Zarejestruj""","Wyświetlił się komunikat "" Konto zostało utworzone poprawnie"""
2,Poprawne zalogowanie ,Otwarta aplikacja MrBuggy 3,1,"Wpisuję annagnat556@wp.pl w polu input oznaczonym ""Adres e-mail""",W polu input pojawił się adres e-mail
,,e-mail: annagnat556@wp.pl,2,"Wpisuję hasło PannaAnna57!PannaAnna i klikam ""Zaloguj""","Otwiera się okno ""Dane użytkownika"""
,,hasło: PannaAnna57!PannaAnna,,,
3,Niepoprawny login podczas zakładania konta,Otwarta aplikacja MrBuggy 3,1,"Klikam ""Rejestracja""",Otwiera się nowe okno z formularzem rejestracyjnym
,,,2,W miejscu e-mail wpisuję: annagnat876@wp.pl,W polu input pojawiła się wpisany e-mail
,,,3,W miejscu hasło wpisuję: PannaAnna57!PannaAnna,W polu input pojawia się zaszyfrowane hasło
,,,4,"W miejscu ""powtórz hasło"" wpisuję: PannaAnna57!PannaAnna",W polu input pojawia się zaszyfrowane hasło
,,,5,"Zaznaczam checkbox ""Akceptuję regulamin""",Checkbox został zaznaczony
,,,6,"Miejsce nazwa użytkownika pozostawiam pustą i klikam ""Zarejestruj""","Wyświetlił się komunikat "" Pole [Nazwa użytkownika] jest wymagane"""
,,,7,"W miejsce nazwa użytkownika wpisuję a i klikam ""Zarejestruj""","Wyświetlił się komunikat "" Pole [Nazwa użytkownika] musi składać się z 4-8 znaków"""
,,,8,"W miejsce nazwa użytkownika wpisuję AnnaM!579 i klikam ""Zarejestruj""","Wyświetlił się komunikat "" Pole [Nazwa użytkownika] musi składać się z 4-8 znaków"""
,,,9,"W miejsce nazwa użytkownika wpisuję: anna!57 i klikam ""Zarejestruj""","Wyświetlił się komunikat "" Pole [Nazwa użytkownika] musi składać się z jednej wielkiej litery, małej litery, cyfry i znaku specjalnego"""
,,,10,W miejsce nazwa użytkownika wpisuję: Anna57,"Wyświetlił się komunikat "" Pole [Nazwa użytkownika] musi składać się z jednej wielkiej litery, małej litery, cyfry i znaku specjalnego"""
,,,11,W miejsce nazwa użytkownika wpisuję: Anna!,"Wyświetlił się komunikat "" Pole [Nazwa użytkownika] musi składać się z jednej wielkiej litery, małej litery, cyfry i znaku specjalnego"""
,,,12,W miejscy nazwa użytkownika wpisuję: ANNA!57,"Wyświetlił się komunikat "" Pole [Nazwa użytkownika] musi składać się z jednej wielkiej litery, małej litery, cyfry i znaku specjalnego"""
,,,13,W miejsce nazwa użytkownika wpisuję: Anna !57,"Wyświetlił się komunikat "" Pole [Nazwa użytkownika] może zawierać tylko małe i duże litery, cyfry oraz znaki !@#$%^&*?"""
,,,14,W miejsce nazwa użytkownika wpisuję: AnnaŚ!56,"Wyświetlił się komunikat "" Pole [Nazwa użytkownika] może zawierać tylko małe i duże litery, cyfry oraz znaki !@#$%^&*?"""
4,Założenie konta przy pomocy podania niepoprawnego hasła,Otwarta aplikacja MrBuggy 3,1,"Klikam ""Rejestracja""",Otwiera się nowe okno z formularzem rejestracyjnym
,,e-mail annagnat876@wp.pl,2,W miejscu nazwa użytkownika wpisuję: użytkownika: Anna!57,W polu input pojawiła się nazwa użytkownika
,,,3,W miejscu e-mail wpisuję: annagnat876@wp.pl,W polu input pojawiła się wpisany e-mail
,,,4,"Zaznaczam checkbox ""Akceptuję regulamin""",Checkbox został zaznaczony
,,,5,Miejsce hasło i powtórz hasło pozostawiam puste,pole input przy haśle i jego powtórzeniu zostaje puste
,,,6,"Klikam ""Zarejestruj""","Wyświetlił się komunikat "" Pole [hasło] jest wymagane"""
,,,7,"W miejsce hasło i powtórz hasło wpisuję pannaanna57!pannaanna i klikam ""Zarejestruj""","Wyświetlił się komunikat "" Pole [Hasło] musi zawierać conajmniej jedną małą literę, jedną dużą literę oraz jedną cyfrę"""
,,,8,"W miejsce hasło i powtórz hasło wpisuję PannaAnna!PannaAnna i klikam ""Zarejestruj""","Wyświetlił się komunikat "" Pole [Hasło] musi zawierać conajmniej jedną małą literę, jedną dużą literę oraz jedną cyfrę"""
,,,9,"W miejsce hasło i powtórz hasło wpisuję PANNAANNA57!PANNAANNA i klikam ""Zarejestruj""","Wyświetlił się komunikat "" Pole [Hasło] musi zawierać conajmniej jedną małą literę, jedną dużą literę oraz jedną cyfrę"""
,,,10,"W miejsce hasło i powtórz hasło wpisuję PannaAnna57! i klikam ""Zarejestruj""","Wyświetlił się komunikat "" Pole [Hasło] musi składać się z co najmniej 20 znaków"""
,,,11,"W miejsce hasło i powtórz hasło wpisuję Panna Anna57!Panna Anna i klikam ""Zarejestruj""","Wyświetlił się komunikat "" Pole [Hasło] nie może zawierać białych znaków"""
,,,12,"W miejsce hasło i powtórz hasło wpisuję PannaAnna57!PannaŚŚŚŚ i klikam ""Zarejestruj""","Wyświetlił się komunikat "" Pole [Hasło] nie może zawierać polskich znaków"""
,,,13,"W miejsce hasło i powtórz hasło wpisuję PannaAnna57PannaAnna i klikam ""Zarejestruj""","Wyświetlił się komunikat "" Pole [Hasło] musi zawierać conajmniej jedną małą literę, jedną dużą literę oraz jedną cyfrę"""
5,Konto zostało zablokowane po 3-krotnym błędny wpisaniu hasła,Otwarta aplikacja MrBuggy 3,1,"Wipsuję annagnat556@wp.pl w polu input oznaczonym ""Adres e-mail""",W polu input pojawił się adres e-mail
,,e-mail: annagnat556@wp.pl,2,"Wpisuję hasło inne niż ""PannaAnna!57PannaAnna"" i klikam ""Zaloguj""","Wyświetlił się komunikat ""Niepoprawny adres e-mail i/lub hasło."
,,hasło: PannaAnna57!PannaAnna,3,"Drugi raz wpisuję hasło  inne niż ""PannaAnna!57PannaAnna"" i klikam ""Zaloguj""","Wyświetlił się komunikat ""Niepoprawny adres e-mail i/lub hasło."
,,,4,"Trzeci raz wpisuję hasło  inne niż ""PannaAnna!57PannaAnna"" i klikam ""Zaloguj""","Wyświetlił się komunikat ""Niepoprawny adres e-mail lub hasło, konto zostało zablokowane"""
6,W aplikacji powinno być 24 zadania,Otwarta aplikacja MrBuggy 3,1,"Wpisuję e-mail, hasło i klikam ""Zaloguj""","Uruchamia się okno ""Dane użytkownika"""
,,e-mail: annagnat556@wp.pl,2,"Klikam ""Rozpocznij""",Wyświetla się okno z zadaniami do wykonania
,,hasło: PannaAnna57!PannaAnna,3,"Patrzę ile zadań jest do wykonania w ""Menu bocznym"" po prawej stronie",Widoczne jest 24 zadania
7,Wygląd okna aplikacji klienckiej,Otwarta aplikacja MrBuggy 3,1,"Wpisuję e-mail, hasło i klikam ""Zaloguj""","Uruchamia się okno ""Dane użytkownika"""
,,e-mail: annagnat556@wp.pl,2,"Klikam ""Rozpocznij""",Wyświetla się okno z zadaniami do wykonania
,,hasło: PannaAnna57!PannaAnna,3,Sprawdzam czy widoczna jest ikona MrBuggy,W górnym lewym rogu znajduje się ikona MrBuggy
,,,4,Patrzę na podział okien w aplikacji,"Okno jest podzielone na dwie części - ""Zadania"" oraz ""Menu boczne"""
,,,5,"Patrzę na elementy okna ""Menu boczne"" znajdujące się po prawej stronie okna","Okno ""Menu boczne"" składa się z pola:
- Czas
- Nr zadania
- Opis problemu
- Lista zadań
- przyciski nawigacyjne ""Następne"" i ""Poprzednie""
- Zgłoś defekt
- Zakończ"
,,,6,"Patrzę na elementy okna ""Zadania""","W polu ""Zadania"" wyświetlane jest zadanie do wykonania"
8,"Wygląd niektórych elementów  ""Menu bocznego""",Otwarta aplikacja MrBuggy 3,1,"Wpisuję e-mail, hasło i klikam ""Zaloguj""","Uruchamia się okno ""Dane użytkownika"""
,,e-mail: annagnat556@wp.pl,2,"Klikam ""Rozpocznij""",Wyświetla się okno z zadaniami do wykonania
